velocity,posicion
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,1
99,1
99,1
99,2
99,3
99,5
99,6
99,6
99,8
99,12
99,13
99,17
99,20
99,22
98,26
98,30
98,35
98,38
98,43
97,49
97,54
97,57
97,64
97,70
96,70
96,74
96,82
96,88
95,88
95,97
94,100
94,109
94,117
94,121
93,121
93,130
93,138
93,138
92,147
92,152
92,161
92,161
91,169
91,180
91,184
91,193
90,193
90,202
89,207
89,215
89,223
89,228
88,236
88,245
88,249
88,257
87,257
87,266
87,270
87,277
86,277
86,287
86,291
86,291
85,298
85,306
85,310
85,310
84,319
84,327
84,334
83,340
83,348
83,348
82,355
82,358
82,358
81,368
81,375
81,378
80,378
80,386
80,395
80,399
79,407
79,414
79,414
79,418
79,425
79,425
78,432
78,432
78,437
78,444
78,452
78,455
78,462
77,462
77,470
76,473
76,473
76,479
76,487
76,494
75,498
75,504
75,513
75,516
74,523
74,523
74,535
73,542
73,542
73,552
72,559
72,566
72,569
72,576
72,583
72,583
71,586
71,586
71,593
71,599
71,599
70,602
70,602
70,609
70,616
70,616
69,619
69,625
68,630
68,635
68,640
68,646
68,649
68,657
68,662
68,663
67,663
67,672
67,672
67,696
66,696
66,717
65,717
65,742
64,742
64,767
63,767
62,791
61,791
61,814
60,814
60,836
59,836
59,856
58,856
58,877
57,877
57,899
56,899
56,923
55,923
54,943
54,943
54,958
53,958
52,979
52,979
52,998
51,998
51,1014
50,1014
50,1032
49,1032
49,1049
48,1049
48,1069
47,1069
47,1087
46,1087
46,1105
45,1105
45,1122
44,1122
44,1139
43,1139
43,1156
43,1156
42,1173
42,1173
41,1189
41,1189
41,1205
40,1205
40,1219
40,1235
39,1235
39,1249
39,1265
38,1265
38,1279
37,1279
37,1293
37,1306
36,1306
36,1319
35,1319
35,1332
35,1344
34,1344
34,1358
34,1358
34,1369
33,1369
33,1380
33,1392
32,1392
32,1405
32,1415
31,1415
31,1427
31,1436
30,1436
30,1448
30,1448
29,1460
29,1460
29,1472
29,1472
28,1483
28,1483
28,1493
28,1493
27,1502
27,1502
27,1513
27,1513
26,1523
26,1523
26,1533
26,1533
25,1541
25,1541
25,1550
25,1550
24,1559
24,1559
24,1567
24,1567
23,1576
23,1576
23,1586
23,1586
22,1594
22,1594
22,1602
22,1602
21,1611
21,1611
21,1619
21,1619
20,1626
20,1626
20,1635
20,1635
19,1642
19,1642
19,1650
19,1650
18,1656
18,1656
18,1663
18,1663
17,1670
17,1670
17,1676
17,1676
16,1684
16,1684
16,1689
16,1689
16,1695
16,1699
15,1699
15,1702
15,1702
15,1705
15,1705
15,1708
15,1708
15,1711
15,1715
14,1718
14,1718
14,1721
14,1724
14,1727
14,1730
14,1733
14,1736
14,1739
14,1742
14,1745
14,1748
14,1751
14,1754
14,1757
14,1760
14,1763
14,1766
14,1769
14,1774
13,1774
13,1778
13,1778
13,1784
13,1784
13,1789
13,1789
13,1793
12,1793
12,1798
12,1798
12,1803
12,1803
12,1807
12,1807
12,1811
11,1811
11,1816
11,1816
11,1820
11,1820
11,1824
11,1824
11,1828
11,1828
10,1832
10,1832
10,1836
10,1836
10,1840
10,1840
10,1844
10,1844
10,1848
10,1848
10,1851
10,1851
9,1855
9,1855
9,1858
9,1858
9,1862
9,1862
9,1866
9,1866
9,1869
9,1869
9,1874
8,1874
8,1878
8,1878
8,1881
8,1881
8,1884
8,1884
8,1887
8,1887
8,1890
8,1890
8,1894
7,1894
7,1898
7,1898
7,1902
7,1902
7,1906
7,1906
7,1910
7,1910
7,1913
7,1913
7,1917
7,1917
6,1921
6,1921
6,1925
6,1925
6,1929
6,1929
6,1933
6,1933
6,1937
6,1937
5,1941
5,1941
5,1945
5,1945
5,1949
5,1949
5,1952
5,1952
5,1955
5,1955
4,1959
4,1959
4,1962
4,1962
4,1966
4,1966
4,1969
4,1973
4,1976
4,1979
3,1979
3,1983
3,1986
3,1989
3,1993
3,1993
3,1996
3,1996
3,1999
3,1999
2,2003
2,2003
2,2006
2,2006
2,2009
2,2009
2,2012
2,2012
2,2015
2,2015
2,2018
2,2018
2,2022
1,2022
1,2025
1,2025
1,2028
1,2028
1,2031
1,2031
1,2034
1,2034
1,2037
1,2037
1,2040
1,2040
1,2043
1,2043
1,2046
1,2046
1,2049
1,2049
1,2052
0,2052
0,2055
